epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
10,0,0,0,0.1,5,3,0.25,0.25,6.250570774,"[[61  5]
 [ 8 16]]",0.855555556,0.761904762,0.924242424,0.711111111
10,0,0,0,0.1,5,6,0.25,0.25,23.02667379,"[[60  6]
 [ 8 16]]",0.844444444,0.727272727,0.909090909,0.695652174
10,0,0,0,0.1,13,3,0.25,0.25,30.32124615,"[[60  6]
 [ 7 17]]",0.855555556,0.739130435,0.909090909,0.723404255
10,0,0,0,0.1,13,6,0.25,0.25,50.67296457,"[[58  8]
 [ 7 17]]",0.833333333,0.68,0.878787879,0.693877551
10,0,0,0,0.3,5,3,0.25,0.25,56.54465294,"[[58  8]
 [ 7 17]]",0.833333333,0.68,0.878787879,0.693877551
10,0,0,0,0.3,5,6,0.25,0.25,72.91932511,"[[57  9]
 [ 6 18]]",0.833333333,0.666666667,0.863636364,0.705882353
10,0,0,0,0.3,13,3,0.25,0.25,80.58557153,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,0,0.3,13,6,0.25,0.25,100.7396364,"[[57  9]
 [ 6 18]]",0.833333333,0.666666667,0.863636364,0.705882353
10,0,0,1,0.1,5,3,0.25,0.25,107.4817536,"[[57  9]
 [ 6 18]]",0.833333333,0.666666667,0.863636364,0.705882353
10,0,0,1,0.1,5,6,0.25,0.25,123.1138542,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,1,0.1,13,3,0.25,0.25,132.0101206,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,1,0.1,13,6,0.25,0.25,150.3823848,"[[59  7]
 [ 6 18]]",0.855555556,0.72,0.893939394,0.734693878
10,0,0,1,0.3,5,3,0.25,0.25,157.7178214,"[[60  6]
 [ 6 18]]",0.866666667,0.75,0.909090909,0.75
10,0,0,1,0.3,5,6,0.25,0.25,172.4545712,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,1,0.3,13,3,0.25,0.25,181.5806489,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,1,0.3,13,6,0.25,0.25,200.2849314,"[[57  9]
 [ 6 18]]",0.833333333,0.666666667,0.863636364,0.705882353
10,0,0,3,0.1,5,3,0.25,0.25,208.3295395,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,3,0.1,5,6,0.25,0.25,220.8558412,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,3,0.1,13,3,0.25,0.25,230.6931586,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,3,0.1,13,6,0.25,0.25,247.9439361,"[[57  9]
 [ 6 18]]",0.833333333,0.666666667,0.863636364,0.705882353
10,0,0,3,0.3,5,3,0.25,0.25,256.4229019,"[[58  8]
 [ 6 18]]",0.844444444,0.692307692,0.878787879,0.72
10,0,0,3,0.3,5,6,0.25,0.25,8.312415361,"[[42 17]
 [10 21]]",0.7,0.552631579,0.711864407,0.608695652
10,0,0,3,0.3,13,3,0.25,0.25,5.986513615,"[[47  8]
 [ 9 26]]",0.811111111,0.764705882,0.854545455,0.753623188
